ISOTime,flow,sal,temp,oxy,trc_ret
01/01/1984 00:00:00,0.99,0,NaN,200,0
02/01/1984 00:00:00,0.96,0,NaN,200,0
03/01/1984 00:00:00,0.93,0,NaN,200,0
04/01/1984 00:00:00,0.93,0,NaN,200,0
05/01/1984 00:00:00,0.94,0,NaN,200,0
06/01/1984 00:00:00,1.08,0,NaN,200,0
07/01/1984 00:00:00,1.26,0,NaN,200,0
08/01/1984 00:00:00,1.21,0,NaN,200,0
09/01/1984 00:00:00,1.46,0,NaN,200,0
10/01/1984 00:00:00,1.65,0,NaN,200,0
11/01/1984 00:00:00,1.5,0,NaN,200,0
12/01/1984 00:00:00,1.36,0,NaN,200,0
13/01/1984 00:00:00,1.25,0,NaN,200,0
14/01/1984 00:00:00,1.15,0,NaN,200,0
15/01/1984 00:00:00,1.08,0,NaN,200,0
16/01/1984 00:00:00,1.01,0,NaN,200,0
17/01/1984 00:00:00,0.93,0,NaN,200,0
18/01/1984 00:00:00,0.94,0,NaN,200,0
19/01/1984 00:00:00,0.89,0,NaN,200,0
20/01/1984 00:00:00,0.85,0,NaN,200,0
21/01/1984 00:00:00,0.79,0,NaN,200,0
22/01/1984 00:00:00,0.72,0,NaN,200,0
23/01/1984 00:00:00,0.69,0,NaN,200,0
24/01/1984 00:00:00,0.66,0,NaN,200,0
25/01/1984 00:00:00,0.63,0,NaN,200,0
26/01/1984 00:00:00,0.61,0,NaN,200,0
27/01/1984 00:00:00,0.58,0,NaN,200,0
28/01/1984 00:00:00,0.56,0,NaN,200,0
29/01/1984 00:00:00,0.53,0,NaN,200,0
30/01/1984 00:00:00,0.52,0,NaN,200,0
31/01/1984 00:00:00,0.5,0,NaN,200,0
01/02/1984 00:00:00,0.48,0,NaN,200,0
02/02/1984 00:00:00,0.46,0,NaN,200,0
03/02/1984 00:00:00,0.44,0,NaN,200,0
04/02/1984 00:00:00,0.43,0,NaN,200,0
05/02/1984 00:00:00,0.44,0,NaN,200,0
06/02/1984 00:00:00,0.43,0,NaN,200,0
07/02/1984 00:00:00,0.42,0,NaN,200,0
08/02/1984 00:00:00,0.41,0,NaN,200,0
09/02/1984 00:00:00,0.4,0,NaN,200,0
10/02/1984 00:00:00,0.4,0,NaN,200,0
11/02/1984 00:00:00,0.39,0,NaN,200,0
12/02/1984 00:00:00,0.39,0,NaN,200,0
13/02/1984 00:00:00,0.38,0,NaN,200,0
14/02/1984 00:00:00,0.38,0,NaN,200,0
15/02/1984 00:00:00,0.38,0,NaN,200,0
16/02/1984 00:00:00,0.37,0,NaN,200,0
17/02/1984 00:00:00,0.37,0,NaN,200,0
18/02/1984 00:00:00,0.37,0,NaN,200,0
19/02/1984 00:00:00,0.37,0,NaN,200,0
20/02/1984 00:00:00,0.37,0,NaN,200,0
21/02/1984 00:00:00,0.37,0,NaN,200,0
22/02/1984 00:00:00,0.37,0,NaN,200,0
23/02/1984 00:00:00,0.37,0,NaN,200,0
24/02/1984 00:00:00,0.37,0,NaN,200,0
25/02/1984 00:00:00,0.37,0,NaN,200,0
26/02/1984 00:00:00,0.37,0,NaN,200,0
27/02/1984 00:00:00,0.37,0,NaN,200,0
28/02/1984 00:00:00,0.37,0,NaN,200,0
29/02/1984 00:00:00,0.36,0,NaN,200,0
01/03/1984 00:00:00,0.36,0,NaN,200,0
02/03/1984 00:00:00,0.36,0,NaN,200,0
03/03/1984 00:00:00,0.36,0,NaN,200,0
04/03/1984 00:00:00,0.37,0,NaN,200,0
05/03/1984 00:00:00,0.37,0,NaN,200,0
06/03/1984 00:00:00,0.37,0,NaN,200,0
07/03/1984 00:00:00,0.37,0,NaN,200,0
08/03/1984 00:00:00,0.38,0,NaN,200,0
09/03/1984 00:00:00,0.39,0,NaN,200,0
10/03/1984 00:00:00,0.39,0,NaN,200,0
11/03/1984 00:00:00,0.39,0,NaN,200,0
12/03/1984 00:00:00,0.39,0,NaN,200,0
13/03/1984 00:00:00,0.39,0,NaN,200,0
14/03/1984 00:00:00,0.39,0,NaN,200,0
15/03/1984 00:00:00,0.39,0,NaN,200,0
16/03/1984 00:00:00,0.39,0,NaN,200,0
17/03/1984 00:00:00,0.41,0,NaN,200,0
18/03/1984 00:00:00,0.43,0,NaN,200,0
19/03/1984 00:00:00,0.45,0,NaN,200,0
20/03/1984 00:00:00,0.47,0,NaN,200,0
21/03/1984 00:00:00,0.48,0,NaN,200,0
22/03/1984 00:00:00,0.48,0,NaN,200,0
23/03/1984 00:00:00,0.48,0,NaN,200,0
24/03/1984 00:00:00,0.47,0,NaN,200,0
25/03/1984 00:00:00,0.45,0,NaN,200,0
26/03/1984 00:00:00,0.45,0,NaN,200,0
27/03/1984 00:00:00,0.45,0,NaN,200,0
28/03/1984 00:00:00,0.46,0,NaN,200,0
29/03/1984 00:00:00,0.45,0,NaN,200,0
30/03/1984 00:00:00,0.46,0,NaN,200,0
31/03/1984 00:00:00,0.46,0,NaN,200,0
01/04/1984 00:00:00,0.47,0,NaN,200,0
02/04/1984 00:00:00,0.51,0,NaN,200,0
03/04/1984 00:00:00,0.51,0,NaN,200,0
04/04/1984 00:00:00,0.51,0,NaN,200,0
05/04/1984 00:00:00,0.51,0,NaN,200,0
06/04/1984 00:00:00,0.5,0,NaN,200,0
07/04/1984 00:00:00,0.48,0,NaN,200,0
08/04/1984 00:00:00,0.48,0,NaN,200,0
09/04/1984 00:00:00,0.47,0,NaN,200,0
10/04/1984 00:00:00,0.47,0,NaN,200,0
11/04/1984 00:00:00,0.51,0,NaN,200,0
12/04/1984 00:00:00,0.6,0,NaN,200,0
13/04/1984 00:00:00,0.66,0,NaN,200,0
14/04/1984 00:00:00,0.63,0,NaN,200,0
15/04/1984 00:00:00,0.61,0,NaN,200,0
16/04/1984 00:00:00,0.6,0,NaN,200,0
17/04/1984 00:00:00,0.59,0,NaN,200,0
18/04/1984 00:00:00,0.61,0,NaN,200,0
19/04/1984 00:00:00,0.77,0,NaN,200,0
20/04/1984 00:00:00,0.99,0,NaN,200,0
21/04/1984 00:00:00,0.97,0,NaN,200,0
22/04/1984 00:00:00,0.92,0,NaN,200,0
23/04/1984 00:00:00,0.87,0,NaN,200,0
24/04/1984 00:00:00,0.82,0,NaN,200,0
25/04/1984 00:00:00,0.83,0,NaN,200,0
26/04/1984 00:00:00,0.83,0,NaN,200,0
27/04/1984 00:00:00,0.82,0,NaN,200,0
28/04/1984 00:00:00,0.8,0,NaN,200,0
29/04/1984 00:00:00,0.97,0,NaN,200,0
30/04/1984 00:00:00,1.51,0,NaN,200,0
01/05/1984 00:00:00,1.44,0,NaN,200,0
02/05/1984 00:00:00,1.44,0,NaN,200,0
03/05/1984 00:00:00,1.76,0,NaN,200,0
04/05/1984 00:00:00,2.44,0,NaN,200,0
05/05/1984 00:00:00,2.45,0,NaN,200,0
06/05/1984 00:00:00,2.2,0,NaN,200,0
07/05/1984 00:00:00,2.35,0,NaN,200,0
08/05/1984 00:00:00,3.09,0,NaN,200,0
09/05/1984 00:00:00,3.38,0,NaN,200,0
10/05/1984 00:00:00,4.18,0,NaN,200,0
11/05/1984 00:00:00,5.56,0,NaN,200,0
12/05/1984 00:00:00,4.89,0,NaN,200,0
13/05/1984 00:00:00,4.18,0,NaN,200,0
14/05/1984 00:00:00,4.14,0,NaN,200,0
15/05/1984 00:00:00,4.06,0,NaN,200,0
16/05/1984 00:00:00,3.83,0,NaN,200,0
17/05/1984 00:00:00,4.14,0,NaN,200,0
18/05/1984 00:00:00,4.49,0,NaN,200,0
19/05/1984 00:00:00,5.04,0,NaN,200,0
20/05/1984 00:00:00,6.11,0,NaN,200,0
21/05/1984 00:00:00,6.8,0,NaN,200,0
22/05/1984 00:00:00,7.58,0,NaN,200,0
23/05/1984 00:00:00,8.3,0,NaN,200,0
24/05/1984 00:00:00,8.55,0,NaN,200,0
25/05/1984 00:00:00,8.49,0,NaN,200,0
26/05/1984 00:00:00,9.24,0,NaN,200,0
27/05/1984 00:00:00,10.1,0,NaN,200,0
28/05/1984 00:00:00,13.4,0,NaN,200,0
29/05/1984 00:00:00,18.17,0,NaN,200,0
30/05/1984 00:00:00,24.4,0,NaN,200,0
31/05/1984 00:00:00,23.27,0,NaN,200,0
01/06/1984 00:00:00,20.61,0,NaN,200,0
02/06/1984 00:00:00,17.59,0,NaN,200,0
03/06/1984 00:00:00,15.04,0,NaN,200,0
04/06/1984 00:00:00,12.57,0,NaN,200,0
05/06/1984 00:00:00,12.85,0,NaN,200,0
06/06/1984 00:00:00,14.24,0,NaN,200,0
07/06/1984 00:00:00,14.35,0,NaN,200,0
08/06/1984 00:00:00,16.32,0,NaN,200,0
09/06/1984 00:00:00,16.57,0,NaN,200,0
10/06/1984 00:00:00,15.69,0,NaN,200,0
11/06/1984 00:00:00,12.78,0,NaN,200,0
12/06/1984 00:00:00,11.69,0,NaN,200,0
13/06/1984 00:00:00,14.16,0,NaN,200,0
14/06/1984 00:00:00,15.42,0,NaN,200,0
