ISOTime,flow,sal,temp,oxy,trc_ret
31/03/1983 00:00:00,4.522,0,NaN,200,0
01/04/1983 00:00:00,6.436,0,NaN,200,0
02/04/1983 00:00:00,2.065,0,NaN,200,0
03/04/1983 00:00:00,1.15,0,NaN,200,0
04/04/1983 00:00:00,0.919,0,NaN,200,0
05/04/1983 00:00:00,0.865,0,NaN,200,0
06/04/1983 00:00:00,0.744,0,NaN,200,0
07/04/1983 00:00:00,0.719,0,NaN,200,0
08/04/1983 00:00:00,0.748,0,NaN,200,0
09/04/1983 00:00:00,0.972,0,NaN,200,0
10/04/1983 00:00:00,0.864,0,NaN,200,0
11/04/1983 00:00:00,0.79,0,NaN,200,0
12/04/1983 00:00:00,0.747,0,NaN,200,0
13/04/1983 00:00:00,0.667,0,NaN,200,0
14/04/1983 00:00:00,0.684,0,NaN,200,0
15/04/1983 00:00:00,0.681,0,NaN,200,0
16/04/1983 00:00:00,0.577,0,NaN,200,0
17/04/1983 00:00:00,0.588,0,NaN,200,0
18/04/1983 00:00:00,0.766,0,NaN,200,0
19/04/1983 00:00:00,0.728,0,NaN,200,0
20/04/1983 00:00:00,0.725,0,NaN,200,0
21/04/1983 00:00:00,0.892,0,NaN,200,0
22/04/1983 00:00:00,0.881,0,NaN,200,0
23/04/1983 00:00:00,0.913,0,NaN,200,0
24/04/1983 00:00:00,0.8,0,NaN,200,0
25/04/1983 00:00:00,0.846,0,NaN,200,0
26/04/1983 00:00:00,0.669,0,NaN,200,0
27/04/1983 00:00:00,0.587,0,NaN,200,0
28/04/1983 00:00:00,0.628,0,NaN,200,0
29/04/1983 00:00:00,0.67,0,NaN,200,0
30/04/1983 00:00:00,0.736,0,NaN,200,0
01/05/1983 00:00:00,0.642,0,NaN,200,0
02/05/1983 00:00:00,0.723,0,NaN,200,0
03/05/1983 00:00:00,2.008,0,NaN,200,0
04/05/1983 00:00:00,2.446,0,NaN,200,0
05/05/1983 00:00:00,0.977,0,NaN,200,0
06/05/1983 00:00:00,0.822,0,NaN,200,0
07/05/1983 00:00:00,0.869,0,NaN,200,0
08/05/1983 00:00:00,0.681,0,NaN,200,0
09/05/1983 00:00:00,0.573,0,NaN,200,0
10/05/1983 00:00:00,0.532,0,NaN,200,0
11/05/1983 00:00:00,0.506,0,NaN,200,0
12/05/1983 00:00:00,0.515,0,NaN,200,0
13/05/1983 00:00:00,0.671,0,NaN,200,0
14/05/1983 00:00:00,0.688,0,NaN,200,0
15/05/1983 00:00:00,0.598,0,NaN,200,0
16/05/1983 00:00:00,0.58,0,NaN,200,0
17/05/1983 00:00:00,0.596,0,NaN,200,0
18/05/1983 00:00:00,0.56,0,NaN,200,0
19/05/1983 00:00:00,0.543,0,NaN,200,0
20/05/1983 00:00:00,0.59,0,NaN,200,0
21/05/1983 00:00:00,0.598,0,NaN,200,0
22/05/1983 00:00:00,0.515,0,NaN,200,0
23/05/1983 00:00:00,0.493,0,NaN,200,0
24/05/1983 00:00:00,0.471,0,NaN,200,0
25/05/1983 00:00:00,0.433,0,NaN,200,0
26/05/1983 00:00:00,0.447,0,NaN,200,0
27/05/1983 00:00:00,0.505,0,NaN,200,0
28/05/1983 00:00:00,0.537,0,NaN,200,0
29/05/1983 00:00:00,0.519,0,NaN,200,0
30/05/1983 00:00:00,0.49,0,NaN,200,0
31/05/1983 00:00:00,0.475,0,NaN,200,0
01/06/1983 00:00:00,10.734,0,NaN,200,0
