ISOTime,flow,sal,temp,oxy,trc_ret
01/01/1984 00:00:00,0.53163,0,NaN,200,0
02/01/1984 00:00:00,0.38836,0,NaN,200,0
03/01/1984 00:00:00,0.3042,0,NaN,200,0
04/01/1984 00:00:00,0.24451,0,NaN,200,0
05/01/1984 00:00:00,0.19947,0,NaN,200,0
06/01/1984 00:00:00,0.18357,0,NaN,200,0
07/01/1984 00:00:00,0.15889,0,NaN,200,0
08/01/1984 00:00:00,0.12839,0,NaN,200,0
09/01/1984 00:00:00,0.10296,0,NaN,200,0
10/01/1984 00:00:00,0.06367,0,NaN,200,0
11/01/1984 00:00:00,0.04959,0,NaN,200,0
12/01/1984 00:00:00,0.08298,0,NaN,200,0
13/01/1984 00:00:00,0.08524,0,NaN,200,0
14/01/1984 00:00:00,0.07237,0,NaN,200,0
15/01/1984 00:00:00,0.08258,0,NaN,200,0
16/01/1984 00:00:00,0.08471,0,NaN,200,0
17/01/1984 00:00:00,0.08724,0,NaN,200,0
18/01/1984 00:00:00,0.08062,0,NaN,200,0
19/01/1984 00:00:00,0.04714,0,NaN,200,0
20/01/1984 00:00:00,0.03528,0,NaN,200,0
21/01/1984 00:00:00,0.03887,0,NaN,200,0
22/01/1984 00:00:00,0.05476,0,NaN,200,0
23/01/1984 00:00:00,0.0441,0,NaN,200,0
24/01/1984 00:00:00,0.05467,0,NaN,200,0
25/01/1984 00:00:00,0.04534,0,NaN,200,0
26/01/1984 00:00:00,0.02408,0,NaN,200,0
27/01/1984 00:00:00,0.06038,0,NaN,200,0
28/01/1984 00:00:00,0.07198,0,NaN,200,0
29/01/1984 00:00:00,0.03318,0,NaN,200,0
30/01/1984 00:00:00,0.07342,0,NaN,200,0
31/01/1984 00:00:00,0.08324,0,NaN,200,0
01/02/1984 00:00:00,0.08985,0,NaN,200,0
02/02/1984 00:00:00,0.0869,0,NaN,200,0
03/02/1984 00:00:00,0.08379,0,NaN,200,0
04/02/1984 00:00:00,0.08418,0,NaN,200,0
05/02/1984 00:00:00,0.10906,0,NaN,200,0
06/02/1984 00:00:00,0.10209,0,NaN,200,0
07/02/1984 00:00:00,0.11882,0,NaN,200,0
08/02/1984 00:00:00,0.09754,0,NaN,200,0
09/02/1984 00:00:00,0.06631,0,NaN,200,0
10/02/1984 00:00:00,0.04384,0,NaN,200,0
11/02/1984 00:00:00,0.03847,0,NaN,200,0
12/02/1984 00:00:00,0.04416,0,NaN,200,0
13/02/1984 00:00:00,0.02382,0,NaN,200,0
14/02/1984 00:00:00,0.01506,0,NaN,200,0
15/02/1984 00:00:00,0.01156,0,NaN,200,0
16/02/1984 00:00:00,0.01521,0,NaN,200,0
17/02/1984 00:00:00,0.03061,0,NaN,200,0
18/02/1984 00:00:00,0.01762,0,NaN,200,0
19/02/1984 00:00:00,0.0161,0,NaN,200,0
20/02/1984 00:00:00,0.03482,0,NaN,200,0
21/02/1984 00:00:00,0.03981,0,NaN,200,0
22/02/1984 00:00:00,0.04696,0,NaN,200,0
23/02/1984 00:00:00,0.05234,0,NaN,200,0
24/02/1984 00:00:00,0.07019,0,NaN,200,0
25/02/1984 00:00:00,0.07171,0,NaN,200,0
26/02/1984 00:00:00,0.06597,0,NaN,200,0
27/02/1984 00:00:00,0.05127,0,NaN,200,0
28/02/1984 00:00:00,0.04933,0,NaN,200,0
29/02/1984 00:00:00,0.07259,0,NaN,200,0
01/03/1984 00:00:00,0.06257,0,NaN,200,0
02/03/1984 00:00:00,0.058,0,NaN,200,0
