ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,LW_Net,Clouds 
01/01/2007 00:01:26,0.167758,0.248711,18.200000,97.500000,0.000000,-78.743474,0.796347 
01/01/2007 01:01:26,0.233144,0.188796,17.600000,99.800000,0.000000,-78.599218,0.793307 
01/01/2007 02:01:26,0.296307,-0.046930,16.700000,99.980000,0.000000,-79.382052,0.790245 
01/01/2007 03:01:26,0.176336,0.242705,17.100000,99.980000,0.000000,-78.193485,0.787160 
01/01/2007 04:01:26,0.226413,0.196818,16.100000,99.980000,0.000000,-80.170118,0.784053 
01/01/2007 05:01:26,0.013960,0.399756,16.900000,99.980000,42.200000,-78.509334,0.780923 
01/01/2007 06:01:26,0.436329,0.787158,17.800000,88.900000,128.400000,-82.427472,0.777771 
01/01/2007 07:01:26,0.891774,0.802957,20.800000,75.500000,456.600000,-84.106762,0.774596 
01/01/2007 08:01:26,1.472441,0.286213,23.200000,68.300000,671.300000,-83.835842,0.771398 
01/01/2007 09:01:26,1.697670,0.088971,25.600000,64.500000,851.300000,-81.028800,0.768178 
01/01/2007 10:01:26,1.895372,0.132537,25.500000,62.800000,992.700000,-82.465840,0.764936 
01/01/2007 11:01:26,2.299650,-0.040141,26.700000,51.400000,1070.800000,-90.540035,0.761671 
01/01/2007 12:01:26,2.500000,0.000000,25.300000,55.200000,1092.500000,-89.244095,0.758383 
01/01/2007 13:01:26,2.793179,-0.195318,25.200000,54.400000,1053.600000,-89.818200,0.755073 
01/01/2007 14:01:26,2.593667,-0.181367,24.700000,61.600000,953.000000,-83.917672,0.751741 
01/01/2007 15:01:26,2.758064,-0.896149,23.600000,70.300000,796.200000,-78.896686,0.748386 
01/01/2007 16:01:26,2.689726,-0.235321,23.500000,65.600000,535.000000,-82.429753,0.745008 
01/01/2007 17:01:26,1.899711,-0.033160,22.400000,67.100000,260.400000,-83.164723,0.741608 
01/01/2007 18:01:26,1.352296,0.362347,21.100000,74.400000,81.300000,-80.271480,0.738186 
01/01/2007 19:01:26,1.046162,0.339919,19.800000,79.400000,5.600000,-79.322116,0.734741 
01/01/2007 20:01:26,0.653506,0.250858,19.200000,81.700000,0.000000,-78.757210,0.731273 
01/01/2007 21:01:26,0.529769,0.281683,18.600000,85.000000,0.000000,-77.681208,0.727783 
01/01/2007 22:01:26,0.296307,0.046930,16.900000,91.600000,0.000000,-77.071189,0.724270 
01/01/2007 23:01:26,0.293444,0.062374,16.400000,91.800000,0.000000,-77.485123,0.720735 
02/01/2007 00:01:26,0.264884,-0.140841,16.500000,94.300000,0.000000,-75.759130,0.717177 
02/01/2007 01:01:26,-0.176336,-0.242705,16.000000,96.400000,0.000000,-75.313778,0.713597 
02/01/2007 02:01:26,-0.067485,-0.292311,15.700000,96.400000,0.000000,-75.453505,0.709994 
02/01/2007 03:01:26,-0.196818,-0.226413,16.100000,96.000000,0.000000,-74.553764,0.706369 
02/01/2007 04:01:26,-0.299817,0.010470,16.600000,93.400000,0.100000,-74.468000,0.702721 
02/01/2007 05:01:26,-0.792214,-0.111338,17.300000,90.900000,36.600000,-74.011582,0.699051 
02/01/2007 06:01:26,-0.491491,-0.344146,18.300000,87.100000,89.800000,-73.686082,0.695358 
02/01/2007 07:01:26,-0.961262,-0.275637,19.100000,86.600000,218.600000,-72.054692,0.691643 
02/01/2007 08:01:26,-0.494975,-0.494975,20.100000,79.700000,187.900000,-73.538381,0.687905 
02/01/2007 09:01:26,0.854861,-0.692252,21.900000,71.900000,363.100000,-74.458847,0.684145 
02/01/2007 10:01:26,1.843562,-0.459652,22.400000,65.600000,636.200000,-77.326860,0.680362 
02/01/2007 11:01:26,1.960519,-0.752573,22.600000,68.200000,442.000000,-74.752266,0.676557 
02/01/2007 12:01:26,2.061417,-0.400699,22.600000,65.600000,718.900000,-76.102866,0.672729 
02/01/2007 13:01:26,2.178590,-0.306181,22.700000,64.900000,595.700000,-75.971213,0.668878 
02/01/2007 14:01:26,2.231680,-0.556420,22.200000,67.300000,578.100000,-74.797915,0.665005 
02/01/2007 15:01:26,2.291248,0.200458,19.100000,81.300000,213.300000,-71.581345,0.661110 
02/01/2007 16:01:26,0.791274,0.764124,18.000000,87.000000,95.500000,-70.202311,0.657192 
02/01/2007 17:01:26,-0.295833,0.634415,17.800000,85.900000,57.900000,-70.631006,0.653251 
02/01/2007 18:01:26,0.195341,0.567311,17.300000,83.200000,21.400000,-72.244314,0.649288 
02/01/2007 19:01:26,0.203368,0.456773,17.000000,85.200000,2.900000,-71.336856,0.645303 
02/01/2007 20:01:26,0.476927,0.763243,15.300000,97.200000,0.000000,-68.451290,0.641295 
02/01/2007 21:01:26,0.566388,0.699431,14.100000,98.800000,0.000000,-69.161409,0.637264 
02/01/2007 22:01:26,0.721665,0.830181,13.300000,98.600000,0.000000,-69.861842,0.633211 
02/01/2007 23:01:26,0.078217,0.493844,13.200000,99.980000,0.000000,-68.925257,0.629135 
03/01/2007 00:01:26,0.220510,0.769009,11.700000,99.300000,0.000000,-70.641569,0.625037 
03/01/2007 01:01:26,0.278115,0.855951,11.600000,98.800000,0.000000,-70.443272,0.620917 
03/01/2007 02:01:26,-0.369397,0.472806,11.700000,99.700000,0.000000,-69.582597,0.616773 
03/01/2007 03:01:26,-0.254414,0.158976,11.800000,99.980000,0.000000,-68.784415,0.612608 
03/01/2007 04:01:26,-0.310858,0.251728,11.500000,99.980000,0.000000,-68.643607,0.608420 
03/01/2007 05:01:26,0.097670,0.283656,11.700000,99.980000,8.500000,-67.799269,0.604209 
03/01/2007 06:01:26,-0.015701,0.299589,12.600000,99.980000,82.300000,-66.424414,0.599976 
03/01/2007 07:01:26,0.120961,0.485148,13.700000,93.700000,205.300000,-66.881571,0.595720 
03/01/2007 08:01:26,0.325568,0.945519,15.600000,82.600000,418.000000,-68.220810,0.591442 
03/01/2007 09:01:26,-0.052336,0.998630,16.200000,78.500000,300.700000,-69.613190,0.595169 
03/01/2007 10:01:26,-0.762495,1.174139,17.800000,70.300000,303.200000,-72.146084,0.601422 
03/01/2007 11:01:26,-1.476577,1.195709,18.100000,66.500000,453.700000,-74.426892,0.607627 
03/01/2007 12:01:26,-1.366746,1.319851,18.500000,62.700000,445.900000,-76.723435,0.613784 
03/01/2007 13:01:26,-1.366746,1.319851,19.400000,59.900000,381.900000,-78.039627,0.619891 
03/01/2007 14:01:26,-0.975080,1.392558,19.300000,62.100000,263.900000,-77.648379,0.625950 
03/01/2007 15:01:26,-0.835624,0.995858,18.200000,68.000000,186.000000,-76.497175,0.631961 
03/01/2007 16:01:26,0.721053,1.200034,17.800000,71.000000,226.300000,-76.168008,0.637922 
03/01/2007 17:01:26,0.423239,1.229174,18.000000,69.800000,67.900000,-77.238316,0.643835 
03/01/2007 18:01:26,-0.798102,1.501011,17.500000,70.600000,43.300000,-78.162926,0.649700 
03/01/2007 19:01:26,-0.401722,1.236373,17.300000,71.500000,2.200000,-78.654206,0.655515 
03/01/2007 20:01:26,-0.387075,1.552473,16.300000,75.500000,0.000000,-78.631463,0.661282 
03/01/2007 21:01:26,0.158430,1.290310,15.700000,79.800000,0.000000,-78.064954,0.667000 
03/01/2007 22:01:26,0.140791,0.888920,15.700000,77.800000,0.000000,-79.652273,0.672670 
03/01/2007 23:01:26,0.224951,0.974370,15.400000,74.700000,0.000000,-82.141742,0.678291 
04/01/2007 00:01:26,0.374607,0.927184,15.500000,72.400000,0.000000,-83.807672,0.683863 
04/01/2007 01:01:26,0.400000,0.692820,14.900000,77.300000,0.000000,-82.855304,0.689386 
04/01/2007 02:01:26,0.400000,0.692820,14.000000,79.200000,0.000000,-83.702404,0.694861 
04/01/2007 03:01:26,0.381247,0.587069,13.300000,82.300000,0.000000,-83.810521,0.700287 
04/01/2007 04:01:26,0.391435,0.580326,12.800000,84.300000,0.000000,-84.183969,0.705665 
04/01/2007 05:01:26,0.541634,0.718772,13.300000,80.900000,27.600000,-85.693617,0.710994 
04/01/2007 06:01:26,0.877624,0.818398,14.900000,74.600000,116.200000,-87.392311,0.716274 
04/01/2007 07:01:26,0.635587,1.247409,18.100000,62.900000,435.700000,-90.576365,0.721505 
04/01/2007 08:01:26,-0.651136,1.891037,21.100000,52.400000,644.100000,-94.707276,0.726688 
04/01/2007 09:01:26,-0.264429,1.881509,21.200000,49.700000,630.100000,-97.416212,0.731822 
04/01/2007 10:01:26,-0.265939,1.679070,22.700000,42.900000,809.200000,-102.289883,0.736908 
04/01/2007 11:01:26,-0.742389,1.748959,22.700000,42.900000,795.400000,-102.989030,0.741944 
04/01/2007 12:01:26,-0.786674,1.947086,22.100000,41.500000,772.500000,-105.680545,0.746932 
04/01/2007 13:01:26,-0.465874,1.738666,21.100000,45.700000,444.600000,-103.620166,0.751872 
04/01/2007 14:01:26,-0.029669,1.699741,20.600000,49.300000,291.400000,-101.806449,0.756762 
04/01/2007 15:01:26,0.104635,1.496346,20.400000,47.900000,302.800000,-103.854372,0.761604 
04/01/2007 16:01:26,0.208760,1.485402,20.200000,48.900000,256.800000,-103.901959,0.766398 
04/01/2007 17:01:26,-0.613720,1.258312,19.600000,49.300000,177.500000,-104.888446,0.771142 
04/01/2007 18:01:26,0.052336,0.998630,19.000000,50.600000,60.700000,-105.146355,0.775838 
04/01/2007 19:01:26,0.069587,0.495134,17.500000,58.600000,7.300000,-101.637277,0.780486 
