ISOTime,flow,Sal,Temp,SS1,SS2,RET,Oxy,Sil,Amm,Nit,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,DOCR,DONR,DOPR,CPOM,GRN,BGA,CRYPT,DIATOM,DINO
01/01/1991 00:00:00,0.047337963,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
02/01/1991 00:00:00,0.187152778,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
03/01/1991 00:00:00,0.049074074,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
04/01/1991 00:00:00,0.040162037,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
05/01/1991 00:00:00,0.039930556,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
06/01/1991 00:00:00,0.028125,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
07/01/1991 00:00:00,0.018402778,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
08/01/1991 00:00:00,0.012847222,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
09/01/1991 00:00:00,0.045949074,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
10/01/1991 00:00:00,0.018865741,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
11/01/1991 00:00:00,0.016319444,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
12/01/1991 00:00:00,0.01712963,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
13/01/1991 00:00:00,0.013425926,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
14/01/1991 00:00:00,0.013310185,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
15/01/1991 00:00:00,0.012152778,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
16/01/1991 00:00:00,0.014814815,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
17/01/1991 00:00:00,0.009490741,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
18/01/1991 00:00:00,0.007638889,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
19/01/1991 00:00:00,0.007523148,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
20/01/1991 00:00:00,0.005902778,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
21/01/1991 00:00:00,0.004976852,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
22/01/1991 00:00:00,0.008217593,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
23/01/1991 00:00:00,0.007638889,3,22,1,0.3,0,280,126.888702,30,6,2,8,100,300,11.035704,31.107484,0.25,0.25,1000,35,0.025,30,0.368253,0.4,0.5,0.368253,2
