ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,Clouds 
01/01/2002 00:00:00,NaN,NaN,NaN,NaN,0,NaN 
01/01/2002 01:00:00,NaN,NaN,NaN,NaN,0,NaN 
01/01/2002 02:00:00,NaN,NaN,NaN,NaN,0,NaN 
01/01/2002 03:00:00,NaN,NaN,NaN,NaN,0,NaN 
01/01/2002 04:00:00,NaN,NaN,NaN,NaN,0,NaN 
01/01/2002 05:00:00,NaN,NaN,NaN,NaN,0,NaN 
01/01/2002 06:00:00,NaN,NaN,NaN,NaN,21.819672,NaN 
01/01/2002 07:00:00,NaN,NaN,NaN,NaN,228.545249,NaN 
01/01/2002 08:00:00,NaN,NaN,NaN,NaN,463.256328,NaN 
01/01/2002 09:00:00,NaN,NaN,NaN,NaN,686.199188,NaN 
01/01/2002 10:00:00,NaN,NaN,NaN,NaN,877.605249,NaN 
01/01/2002 11:00:00,-3.393334,1.235073,26.6,33,1022.206534,0
01/01/2002 12:00:00,0,4.166667,28.3,32,1108.883089,0
01/01/2002 13:00:00,0.820005,4.650481,29.6,29,1131.074497,0
01/01/2002 14:00:00,6.383704,5.356563,26.2,51,1087.113924,0
01/01/2002 15:00:00,6.254628,3.611111,26.1,51,980.309107,0
01/01/2002 16:00:00,4.285251,5.106963,27.5,44,818.776507,0
01/01/2002 17:00:00,3.888889,6.735753,27.2,45,615.047165,0
01/01/2002 18:00:00,2.850168,7.830772,25.5,51,385.737527,0
01/01/2002 19:00:00,1.061183,6.01827,25.3,54,152.987662,0
01/01/2002 20:00:00,-1.425084,3.915386,24.5,62,0,0
01/01/2002 21:00:00,-2.083333,3.608439,24.3,64,0,0
01/01/2002 22:00:00,-5.051815,2.916667,25.6,40,0,0
01/01/2002 23:00:00,-6.254628,3.611111,24.2,45,0,0
02/01/2002 00:00:00,-7.30872,2.660157,22.5,48,0,0
02/01/2002 01:00:00,-6.264617,2.280134,20.8,52,0,0
02/01/2002 02:00:00,-7.30872,2.660157,19.6,50,0,0
02/01/2002 03:00:00,-6.786669,2.470146,18.8,51,0,0
02/01/2002 04:00:00,-6.254628,3.611111,18,51,0,0
02/01/2002 05:00:00,-3.830222,3.213938,17.2,54,0,0
02/01/2002 06:00:00,-4.681383,3.928146,16.6,60,20.271008,0
02/01/2002 07:00:00,-6.264617,2.280134,18,59,226.060588,0
02/01/2002 08:00:00,-6.254628,3.611111,19.7,54,460.873738,0
02/01/2002 09:00:00,-5.744712,1.012948,21.7,45,684.106647,0
02/01/2002 10:00:00,-6.111111,0,23.3,40,875.919668,0
02/01/2002 11:00:00,-4.330127,2.5,24.9,37,1021.001422,0
02/01/2002 12:00:00,-1.527778,2.646189,26.7,34,1108.19135,0
02/01/2002 13:00:00,-1.615095,4.437437,27.2,33,1130.888917,0
02/01/2002 14:00:00,3.213938,3.830222,28,40,1087.389021,0
02/01/2002 15:00:00,6.383704,5.356563,26,51,980.96494,0
02/01/2002 16:00:00,3.333333,5.773503,26.9,46,819.704347,0
02/01/2002 17:00:00,4.285251,5.106963,25.6,54,616.116678,0
02/01/2002 18:00:00,4.166667,7.216878,24.7,51,386.803395,0
02/01/2002 19:00:00,2.660157,7.30872,24.2,55,153.880191,0
02/01/2002 20:00:00,0,6.666667,23.9,61,0,0
02/01/2002 21:00:00,-0.820005,4.650481,23.6,66,0,0
02/01/2002 22:00:00,-2.361111,4.089564,23.7,60,0,0
02/01/2002 23:00:00,-3.617432,3.035386,23.4,47,0,0
03/01/2002 00:00:00,-6.786669,2.470146,23,44,0,0
03/01/2002 01:00:00,-7.216878,4.166667,21.4,52,0,0
03/01/2002 02:00:00,-7.659616,1.350597,20.1,57,0,0
03/01/2002 03:00:00,-6.786669,2.470146,19.2,60,0,0
03/01/2002 04:00:00,-5.051815,2.916667,18.4,63,0,0
03/01/2002 05:00:00,-6.111111,0,18,65,0,0
03/01/2002 06:00:00,-6.111111,0,18.3,64,18.727446,0
03/01/2002 07:00:00,-5,0,18.8,62,223.516243,0
03/01/2002 08:00:00,-4.698463,1.710101,21.2,55,458.4358,0
03/01/2002 09:00:00,-4.103366,-0.723534,23.8,47,681.964599,0
03/01/2002 10:00:00,0.85505,-2.349232,24.6,54,874.189028,0
03/01/2002 11:00:00,2.871283,-1.045062,25.1,48,1019.753406,0
03/01/2002 12:00:00,4.089564,2.361111,27.1,49,1107.456199,0
03/01/2002 13:00:00,6.254628,3.611111,25.4,58,1130.656706,0
03/01/2002 14:00:00,5.532543,4.642355,25.8,51,1087.611769,0
03/01/2002 15:00:00,5.106963,4.285251,27.3,47,981.560672,0
03/01/2002 16:00:00,4.468592,3.749594,27.3,46,820.562985,0
03/01/2002 17:00:00,1.254126,7.112501,26.3,45,617.107507,0
03/01/2002 18:00:00,1.061183,6.01827,25,51,387.782209,0
03/01/2002 19:00:00,0,6.111111,23.9,55,154.68292,0
03/01/2002 20:00:00,0,4.166667,23.6,55,0,0
03/01/2002 21:00:00,0,4.722222,23.2,62,0,0
03/01/2002 22:00:00,0,5,22.6,70,0,0
03/01/2002 23:00:00,0,6.111111,23.2,57,0,0
04/01/2002 00:00:00,0,5.833333,22.8,54,0,0
04/01/2002 01:00:00,0.627063,3.55625,21.7,61,0,0
04/01/2002 02:00:00,1.235073,3.393334,20.7,69,0,0
04/01/2002 03:00:00,1.425084,3.915386,19.7,80,0,0
