ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,LW_Net
07/05/2013 00:00:00,-0.22034,-0.68983,9.99000,65.20000,-1.15800,295.70000
07/05/2013 03:00:00,-0.15236,-0.15248,8.89000,76.70000,-1.29800,300.40000
07/05/2013 06:00:00,-0.12314,0.15654,8.61000,86.30000,-1.31000,300.30000
07/05/2013 09:00:00,-0.03293,-0.05410,8.77000,91.00000,-0.54500,303.80000
07/05/2013 12:00:00,-0.21738,-0.17115,8.53000,90.60000,360.66700,306.70000
07/05/2013 15:00:00,-0.02960,0.39500,8.80000,90.10000,896.50000,303.50000
07/05/2013 18:00:00,-0.61999,-0.41707,9.64000,87.30000,883.33300,309.80000
07/05/2013 21:00:00,-0.56548,-0.97287,8.70000,89.90000,375.66700,311.50000
08/05/2013 00:00:00,-0.37188,-1.01129,9.65000,86.70000,-0.39200,348.40000
08/05/2013 03:00:00,-0.43950,-0.50644,11.85000,76.10000,-1.42700,327.70000
08/05/2013 06:00:00,-0.18385,-0.24126,10.78000,79.30000,-0.77700,347.40000
08/05/2013 09:00:00,-0.09490,-0.12605,9.93000,85.00000,-0.32200,329.10000
08/05/2013 12:00:00,-0.11650,-0.27766,9.40000,89.60000,302.16700,346.70000
08/05/2013 15:00:00,-0.52744,0.33479,9.96000,87.20000,774.33300,344.30000
08/05/2013 18:00:00,-0.57217,-0.25218,10.25000,87.80000,827.50000,311.50000
08/05/2013 21:00:00,-0.31464,-0.35325,12.36000,86.00000,443.00000,340.60000
09/05/2013 00:00:00,-0.09072,-0.42941,11.95000,90.90000,-0.53800,367.00000
09/05/2013 03:00:00,0.11256,-0.25030,11.55000,92.30000,-0.15300,360.10000
09/05/2013 06:00:00,0.11399,-0.35842,10.50000,96.00000,-0.27700,354.60000
09/05/2013 09:00:00,0.10575,-0.18783,11.22000,92.50000,-1.56200,307.80000
09/05/2013 12:00:00,0.26348,0.03080,9.85000,94.10000,138.83300,301.90000
09/05/2013 15:00:00,0.41897,0.42599,11.40000,92.50000,896.00000,298.70000
09/05/2013 18:00:00,0.47811,0.69875,12.48000,89.30000,630.33300,309.70000
09/05/2013 21:00:00,0.64609,0.53985,14.29000,81.90000,193.50000,330.40000
10/05/2013 00:00:00,0.19812,0.41669,14.64000,72.60000,-0.87200,336.30000
10/05/2013 03:00:00,0.07020,0.63251,14.07000,72.90000,-1.26700,339.20000
10/05/2013 06:00:00,0.20461,0.29248,15.04000,63.50000,-0.68200,372.50000
10/05/2013 09:00:00,-0.03272,0.08652,12.74000,89.50000,-0.77700,369.60000
10/05/2013 12:00:00,-0.22028,0.11525,12.90000,92.70000,249.50000,360.20000
10/05/2013 15:00:00,-0.24515,0.43163,13.49000,89.70000,748.33300,338.60000
10/05/2013 18:00:00,-0.05732,0.52438,13.29000,90.80000,319.16700,362.10000
10/05/2013 21:00:00,0.36922,0.32803,12.93000,95.00000,23.25000,374.70000
11/05/2013 00:00:00,0.56006,1.08135,10.81000,92.80000,0.39700,369.60000
11/05/2013 03:00:00,0.36727,0.91337,7.33600,93.50000,-0.14200,341.70000
11/05/2013 06:00:00,0.59965,0.51431,6.36800,93.50000,-0.32200,336.90000
11/05/2013 09:00:00,0.90035,0.35034,6.34300,89.20000,0.07300,334.60000
11/05/2013 12:00:00,0.69752,0.01885,6.44200,90.50000,60.36700,335.40000
11/05/2013 15:00:00,0.76697,0.86544,6.55000,89.20000,239.66700,337.40000
11/05/2013 18:00:00,0.96704,1.03185,7.67800,88.50000,351.16700,341.70000
11/05/2013 21:00:00,0.98421,0.97525,8.91000,89.70000,351.00000,333.40000
12/05/2013 00:00:00,0.93140,0.74023,10.11000,88.00000,9.63700,344.00000
12/05/2013 03:00:00,0.20568,0.82789,7.89600,79.30000,-0.15300,331.20000
12/05/2013 06:00:00,1.07983,-0.13578,6.36500,71.40000,-2.31300,240.30000
12/05/2013 09:00:00,0.62517,0.27587,7.32300,61.80000,-1.96200,236.90000
12/05/2013 12:00:00,0.98787,0.81918,6.10500,66.20000,301.33300,239.70000
12/05/2013 15:00:00,1.29220,0.81870,5.53600,64.30000,558.50000,302.30000
12/05/2013 18:00:00,1.35526,1.02215,6.86200,59.90000,597.33300,304.60000
12/05/2013 21:00:00,1.20771,0.65964,7.79100,63.40000,295.50000,300.90000
13/05/2013 00:00:00,0.58310,0.03031,7.42800,64.10000,39.76700,293.40000
13/05/2013 03:00:00,0.48304,-0.05931,6.01600,55.30000,-0.63200,304.30000
13/05/2013 06:00:00,0.33543,-0.07583,4.96700,59.50000,-2.26800,233.20000
13/05/2013 09:00:00,0.42048,-0.08865,4.50700,60.00000,-1.63300,243.30000
13/05/2013 12:00:00,0.60723,0.09204,3.40200,62.30000,286.33300,228.10000
13/05/2013 15:00:00,0.94771,-0.29665,4.35300,60.60000,833.50000,238.50000
13/05/2013 18:00:00,1.01274,1.16015,5.47900,57.10000,480.00000,298.80000
13/05/2013 21:00:00,0.92508,0.79879,6.49000,58.10000,638.16700,242.00000
14/05/2013 00:00:00,0.74071,0.57377,7.23400,54.90000,57.95000,246.60000
14/05/2013 03:00:00,0.26057,0.20340,7.44600,71.50000,-2.75800,256.60000
14/05/2013 06:00:00,0.13590,0.38888,7.81300,69.50000,-1.92500,284.40000
14/05/2013 09:00:00,0.07208,0.65438,7.55400,63.60000,-1.65500,275.60000
14/05/2013 12:00:00,0.16356,0.42608,7.90900,60.50000,88.33300,326.10000
14/05/2013 15:00:00,-0.51098,1.21498,8.68000,72.00000,443.33300,330.10000
14/05/2013 18:00:00,-0.57896,0.70531,9.27000,74.60000,280.66700,341.20000
14/05/2013 21:00:00,-0.52440,0.00654,9.51000,78.30000,202.33300,357.60000
15/05/2013 00:00:00,-0.11104,-0.03199,10.41000,76.50000,52.40000,323.70000
15/05/2013 03:00:00,-0.46534,1.15177,10.69000,73.60000,-1.08200,304.20000
15/05/2013 06:00:00,-0.06477,1.26584,10.93000,74.60000,-0.19800,360.90000
15/05/2013 09:00:00,0.61315,1.31490,10.92000,79.70000,0.19000,369.70000
15/05/2013 12:00:00,0.02573,1.54868,12.64000,82.50000,255.16700,350.70000
15/05/2013 15:00:00,1.61156,1.41390,12.82000,79.30000,785.33300,331.90000
15/05/2013 18:00:00,0.90147,0.82122,13.55000,78.50000,934.50000,319.10000
15/05/2013 21:00:00,0.13887,0.55798,12.87000,74.10000,592.83300,321.40000
16/05/2013 00:00:00,0.42891,0.11857,14.25000,64.90000,63.25000,327.10000
16/05/2013 03:00:00,-0.59679,0.39429,11.42000,79.30000,0.39700,357.90000
16/05/2013 06:00:00,0.63613,-0.12228,11.95000,74.50000,-1.43000,305.50000
16/05/2013 09:00:00,0.76167,-0.30223,10.12000,82.40000,-1.73700,296.50000
16/05/2013 12:00:00,0.65397,0.19816,10.64000,78.10000,308.83300,319.60000
16/05/2013 15:00:00,0.88987,0.49568,10.31000,82.70000,524.00000,307.20000
16/05/2013 18:00:00,0.85581,0.64825,11.79000,76.70000,962.83300,299.00000
16/05/2013 21:00:00,0.62674,0.43574,11.57000,79.40000,611.00000,305.30000
17/05/2013 00:00:00,0.00022,0.17222,12.52000,71.40000,78.41700,333.00000
17/05/2013 03:00:00,-0.26292,-0.96050,12.10000,72.30000,-0.84700,336.90000
17/05/2013 06:00:00,-0.77295,-0.70533,10.77000,78.90000,-1.76200,294.40000
17/05/2013 09:00:00,-1.06820,-0.67866,9.79000,81.40000,-1.94500,280.30000
17/05/2013 12:00:00,-0.90992,-0.31205,9.30000,80.80000,243.66700,286.40000
17/05/2013 15:00:00,-1.38055,-0.26835,9.05000,85.50000,792.50000,284.00000
17/05/2013 18:00:00,-1.61055,0.06697,9.39000,80.60000,963.16700,288.20000
17/05/2013 21:00:00,-1.15071,0.34814,9.70000,78.50000,588.16700,286.50000
18/05/2013 00:00:00,-1.20462,0.27601,10.61000,72.10000,38.88300,315.10000
18/05/2013 03:00:00,-0.90753,-0.36317,10.53000,78.70000,-0.76300,329.60000
18/05/2013 06:00:00,-1.03601,-0.04395,9.91000,83.60000,-1.08300,307.70000
18/05/2013 09:00:00,-1.25955,-0.16690,9.36000,91.30000,-0.00500,350.30000
18/05/2013 12:00:00,-0.97851,-0.43566,9.80000,85.10000,116.90000,345.60000
18/05/2013 15:00:00,-0.97074,-0.35012,9.77000,85.10000,695.66700,308.60000
18/05/2013 18:00:00,-1.22442,-0.25018,10.13000,79.90000,740.00000,315.80000
18/05/2013 21:00:00,-1.15817,-0.09357,11.03000,74.60000,640.16700,309.50000
19/05/2013 00:00:00,-1.19073,-0.28534,10.95000,78.60000,75.06700,307.50000
19/05/2013 03:00:00,-1.24808,-0.55753,11.18000,77.90000,-0.88200,312.70000
19/05/2013 06:00:00,-1.30989,-0.33007,10.26000,86.10000,-0.81500,318.90000
19/05/2013 09:00:00,-1.24033,-0.12828,10.43000,94.70000,-0.60300,331.30000
19/05/2013 12:00:00,-1.00639,-0.03347,11.53000,96.00000,261.16700,353.70000
19/05/2013 15:00:00,-0.91944,0.05546,13.67000,90.60000,748.50000,338.70000
19/05/2013 18:00:00,-0.75420,-0.05746,12.49000,91.60000,625.50000,351.50000
19/05/2013 21:00:00,-0.41261,-0.25332,12.46000,91.00000,596.66700,345.90000
20/05/2013 00:00:00,-0.94224,0.71310,12.89000,90.80000,78.08300,339.60000
20/05/2013 03:00:00,-0.86584,0.81756,13.70000,89.90000,-0.13000,348.60000
20/05/2013 06:00:00,-0.64033,0.85863,13.48000,92.70000,-0.39500,341.40000
20/05/2013 09:00:00,-0.33363,0.92619,12.96000,95.20000,-0.95700,341.60000
20/05/2013 12:00:00,-0.62882,0.10980,12.58000,95.10000,236.50000,340.50000
